local,longitud,latitud,denominacion,tipo
ERT,-65.36657,-34.0011,VILLA MERCEDES/EA. DON ROBERTO,Aeródromo
ESN,-59.53521,-30.04762,ESQUINA,Aeródromo
ESQ,-71.13554,-42.90381,ESQUEL/BRIGADIER GENERAL ANTONIO PARODI,Aeródromo
ESR,-58.59132,-25.04338,EL ESPINILLO/ESTANCIA SAN RAFAEL,Aeródromo
ETB,-61.71634,-32.2162,EL TREBOL,Aeródromo
EVC,-56.07106,-28.04099,GDOR. VALENTIN VIRASORO/EA. VILLA CORINA,Aeródromo
EZA,-58.39961,-30.52042,LOS CONQUISTADORES/BUENA ESPERANZA,Aeródromo
EZE,-58.53583333,-34.82222222,EZEIZA/MINISTRO PISTARINI,Aeródromo
EZP,-58.20333333,-34.74638889,EZPELETA,Aeródromo
FAE,-61.51124,-33.42909,FIRMAT/AEROCLUB,Aeródromo
FAG,-58.70666667,-30.85222222,FEDERAL/LA ANGELITA,Aeródromo
FDD,-63.32305556,-23.2425,FORTÍN DRAGONES/EL DESAFÍO,Aeródromo
FDO,-58.59091,-34.45454,SAN FERNANDO,Aeródromo
FIM,-61.50111111,-33.46805556,FIRMAT,Aeródromo
FLO,-59.10055556,-36.06638889,LAS FLORES,Aeródromo
FMA,-64.25847,-31.44195,CÓRDOBA/CAPITÁN D. OMAR DARIO GELARDI,Aeródromo
FOR,-58.29833333,-26.30138889,FORMOSA/AEROCLUB,Aeródromo
FRA,-62.13305556,-31.41305556,SAN FRANCISCO,Aeródromo
FRO,-64.96323,-25.82616,ROSARIO DE LA FRONTERA,Aeródromo
FRS,-65.11333333,-28.62861111,FRÍAS,Aeródromo
FSA,-58.22805556,-26.21277778,FORMOSA,Aeródromo
FUN,-64.37973,-30.37934,DEAN FUNES,Aeródromo
FVA,-58.31666667,-34.82666667,FLORENCIO VARELA/EL PÁJARO,Aeródromo
GAA,-59.43992,-33.03832,GUALEGUAY/AGROAEREO GUALEGUAY,Aeródromo
GAI,-61.65877,-27.49486,GANCEDO/AGROAIRE,Aeródromo
GAL,-69.31217,-51.60881,RÍO GALLEGOS/PILOTO CIVIL NORBERTO FERNANDEZ,Aeródromo
GAR,-59.90699,-35.97895,GENERAL ALVEAR,Aeródromo
GAS,-62.99883,-34.99615,GENERAL VILLEGAS,Aeródromo
GBE,-58.46327,-35.75191,GENERAL BELGRANO,Aeródromo
